Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Ag Contraction: Alder/Maple Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Alder/Maple Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Aspen/Birch Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Aspen/Birch Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: California Mixed Conifer Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: California Mixed Conifer Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Douglas-fir Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Douglas-fir Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Elm/Ash/Cottonwood Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Elm/Ash/Cottonwood Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Exotic Hardwoods Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Exotic Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Exotic Softwoods Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Exotic Softwoods Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Grassland [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Grassland [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Hemlock/Sitka Spruce Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Hemlock/Sitka Spruce Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Lodgepole Pine Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Lodgepole Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Longleaf/Slash Pine Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Longleaf/Slash Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Maple/Beech/Birch Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Maple/Beech/Birch Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Oak/Gum/Cypress Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Oak/Gum/Cypress Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Oak/Hickory Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Oak/Hickory Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Oak/Pine Group [Type],0,0.1,,,,,
,2002,,,,Ag Contraction: Oak/Pine Group [Type],0.88,1,,,,,
